Order Num,Load Time (minutes),User Id,Shift,Order Type,Date,Week,Month
0201428121,29.03,175177,Orange,Shuttle,10/31/2024,44,10
0201428407,151.58,177050,Blue,Shuttle,10/31/2024,44,10
0201428681,79.28,172035,Blue,Shuttle,10/31/2024,44,10
0201428695,96.98,176056,Green,Shuttle,11/01/2024,44,11
0201428910,90.3,180182,Orange,Shuttle,10/31/2024,44,10
0201429142,335.83,179911,Orange,Shuttle,10/31/2024,44,10
0201429306,75.03,173752,Orange,Shuttle,10/31/2024,44,10
0201429420,16.55,180417,Green,Shuttle,11/01/2024,44,11
0201429581,37.98,173011,Green,Shuttle,11/01/2024,44,11
0201430046,43.77,169401,Orange,Shuttle,10/31/2024,44,10
0201430052,143.15,169396,Orange,Shuttle,10/31/2024,44,10
0201430163,37.02,180417,Blue,Shuttle,10/31/2024,44,10
0201430166,110.12,167827,Orange,Shuttle,10/31/2024,44,10
0201430167,30.23,176837,Blue,Shuttle,10/31/2024,44,10
0201430168,17.28,167827,Orange,Shuttle,10/31/2024,44,10
0201430169,35.02,176837,Blue,Shuttle,10/31/2024,44,10
0201430170,26.95,176837,Green,Shuttle,11/01/2024,44,11
0201430171,30.48,176837,Blue,Shuttle,10/31/2024,44,10
0201430172,25.43,169531,Green,Shuttle,11/01/2024,44,11
0405856843,207.92,171896,Green,Customer Load,11/01/2024,44,11
0405857778,0.0,171896,Green,Customer Load,11/01/2024,44,11
0405859404,126.27,171896,Green,Customer Load,11/01/2024,44,11
0405869713,41.27,173014,Orange,Customer Load,10/31/2024,44,10
0405872373,38.05,176056,Green,Customer Load,11/01/2024,44,11
0405875056,7.37,171263,Blue,Customer Load,10/31/2024,44,10
0405875311,24.53,175177,Orange,Customer Load,10/31/2024,44,10
0405877816,0.0,167827,Orange,Customer Load,10/31/2024,44,10
0405878183,107.7,173760,Orange,Customer Load,10/31/2024,44,10
0405878231,123.87,176842,Blue,Customer Load,10/31/2024,44,10
0405878432,6.5,171263,Green,Customer Load,11/01/2024,44,11
0405879312,50.52,176848,Orange,Customer Load,10/31/2024,44,10
0405879323,59.75,180175,Orange,Customer Load,10/31/2024,44,10
0405879324,42.38,176965,Green,Customer Load,11/01/2024,44,11
0405879333,21.77,179279,Orange,Customer Load,10/31/2024,44,10
0405879377,61.97,175319,Green,Customer Load,11/01/2024,44,11
0405880432,70.42,177025,Green,Customer Load,11/01/2024,44,11
0405880649,98.33,176056,Green,Customer Load,11/01/2024,44,11
0405880667,36.65,176965,Green,Customer Load,11/01/2024,44,11
0405880932,114.58,173748,Orange,Customer Load,10/31/2024,44,10
0405880964,76.55,177025,Green,Customer Load,11/01/2024,44,11
0405880965,74.0,176842,Blue,Customer Load,10/31/2024,44,10
0405880967,45.87,177050,Green,Customer Load,11/01/2024,44,11
0405881051,43.13,173748,Orange,Customer Load,10/31/2024,44,10
0405881134,5.45,175087,Orange,Customer Load,10/31/2024,44,10
0405881195,165.23,173760,Orange,Customer Load,10/31/2024,44,10
0405881340,120.87,177050,Blue,Customer Load,10/31/2024,44,10
0405881350,22.65,171896,Blue,Customer Load,10/31/2024,44,10
0405881374,313.35,173748,Orange,Customer Load,10/31/2024,44,10
0405881376,67.95,176848,Orange,Customer Load,10/31/2024,44,10
0405881377,132.27,179710,Orange,Customer Load,10/31/2024,44,10
0405881427,0.0,173011,Blue,Customer Load,10/31/2024,44,10
0405881428,0.13,177067,Blue,Customer Load,10/31/2024,44,10
0405881470,349.18,173748,Orange,Customer Load,10/31/2024,44,10
