Appointment Date,Appointment Time,Appointment Nbr,Appointment Type,Appointment Status,Shipment Nbr,Order Status,REF Shipment Nbr,Carrier,ASN,ASN Status,Appointment Notes
01/29/2024,10:00,4219595,Live Load,Complete,9010143845,Shipped,0309186851,CPU,,,Trinity Logistics 
01/29/2024,10:00,42110191,Live Unload,Complete,,,,NCC4,0201361796,Receiving Verified,
01/29/2024,11:00,4219656,Pickup Load,Complete,9010143870,Shipped,0309187196,HEYL,,,
01/29/2024,11:00,42110194,Live Unload,Complete,,,,NCC4,0201361797,Receiving Verified,
01/29/2024,11:00,4219652,Pickup Load,Complete,9010143871,Shipped,0309187222,HEYL,,,
01/29/2024,11:00,4219658,Pickup Load,Complete,9010143869,Shipped,0309187223,HEYL,,,
01/29/2024,11:00,4219650,Pickup Load,Complete,9010143874,Shipped,0309187241,HEYL,,,
01/29/2024,11:43,42110257,Drop Empty,Complete,,,,HEYL,,,
01/29/2024,11:55,42110259,Drop Empty,Complete,,,,METG,,,
01/29/2024,12:00,4219704,Pickup Load,Complete,9010143881,Shipped,0309187226,METG,,,
01/29/2024,12:00,4219662,Pickup Load,Complete,9010143941,Shipped,0309189393,HEYL,,,
01/29/2024,12:00,42110197,Live Unload,Complete,,,,NCC4,0201361798,Receiving Verified,
01/29/2024,12:00,4219702,Pickup Load,Complete,9010143883,Shipped,0309187232,METG,,,
01/29/2024,12:11,42110263,Drop Empty,Complete,,,,HEYL,,,
01/29/2024,12:36,42110265,Drop Empty,Scheduled,,,,METG,,,
01/29/2024,12:38,42110267,Drop Empty,Scheduled,,,,METG,,,
01/29/2024,12:39,42110269,Drop Empty,Complete,,,,METG,,,
01/29/2024,13:00,4219710,Pickup Load,Complete,9010143884,Shipped,0309187197,METG,,,
01/29/2024,13:00,4219712,Pickup Load,Complete,9010143925,Shipped,0309189401,METG,,,
01/29/2024,13:00,4219611,Pickup Load,Canceled,9010143940,Shipped,0309190011,CPU,,,
01/29/2024,13:00,4219706,Pickup Load,Complete,9010143885,Shipped,0309187210,METG,,,
01/29/2024,13:00,42110199,Live Unload,Complete,,,,NCC4,0201361799,Receiving Verified,
01/29/2024,13:00,4219708,Pickup Load,Complete,9010143880,Shipped,0309187195,METG,,,
01/29/2024,13:15,42110275,Drop Unload,Complete,,,,HEYL,0201363593,Receiving Verified,
01/29/2024,13:27,42110287,Drop Empty,Complete,,,,METG,,,
01/29/2024,14:00,4219714,Pickup Load,Complete,9010144087,Shipped,0309191897,METG,,,
01/29/2024,14:00,4219786,Live Load,Complete,9010143913,Shipped,0309188809,SQNS,,,
01/29/2024,14:00,4219605,Live Load,Complete,9010143879,Shipped,0309187325,RBTW,,,
01/29/2024,14:00,4219632,Pickup Load,Complete,9010143858,Shipped,0309187262,DAVI,,,Davis
01/29/2024,14:00,42110201,Live Unload,Complete,,,,NCC4,0201361800,Receiving Verified,
01/29/2024,14:43,42110330,Drop Empty,Complete,,,,METG,,,
01/29/2024,15:00,4219613,Pickup Load,Complete,,,,CPU,,,Publix
01/29/2024,15:00,4219963,Live Unload,Complete,,,,TBXK,060547433,Receiving Verified,
01/29/2024,15:00,42110203,Live Unload,Complete,,,,NCC4,0201361795,Receiving Verified,
01/29/2024,15:00,4219760,Live Load,Complete,9010143876,Shipped,0309187457,SQNS,,,
01/29/2024,15:00,4219784,Live Load,Complete,9010143878,Shipped,0309187501,SQNS,,,
01/29/2024,15:00,42110344,Drop Empty,Scheduled,,,,METG,,,
01/29/2024,15:00,4219788,Live Load,Complete,9010143877,Shipped,0309187490,SQNS,,,
01/29/2024,15:03,42110348,Drop Empty,Complete,,,,METG,,,
01/29/2024,15:19,42110357,Drop Empty,Complete,,,,METG,,,
01/29/2024,16:00,4219630,Pickup Load,Complete,9010143890,Shipped,0309188416,DAVI,,,Davis
01/29/2024,16:00,4219792,Pickup Load,Complete,9010143919,Shipped,0309189390,STVV,,,
01/29/2024,16:00,4219626,Live Load,Complete,9010143997,Shipped,0309191012,CPU,,,Heyl
01/29/2024,16:00,4219790,Pickup Load,Complete,9010144164,Shipped,0309187324,LUAC,,,
01/29/2024,16:00,42110205,Live Unload,Complete,,,,NCC4,0201361801,Receiving Verified,
